Price,Close,High,Low,Open,Volume
Ticker,LACOMERUBC.MX,LACOMERUBC.MX,LACOMERUBC.MX,LACOMERUBC.MX,LACOMERUBC.MX
Date,,,,,
2016-01-04,14.06969928741455,16.284197154438203,13.888339924983217,15.272401091873,5775517
2016-01-05,15.329671859741211,15.644665054783426,14.31787581212259,14.48969061316599,12597615
2016-01-06,16.51328468322754,17.13372749910794,14.795140108544679,15.272402692691282,2897656
2016-01-07,17.52507781982422,18.12642770826778,15.797386432764599,16.513280110755957,2981987
2016-01-08,15.892840385437012,19.09049939887014,15.749662004067865,17.525079030758594,6048304
2016-01-11,15.281946182250977,16.76145927311017,15.081495886476256,15.940568972784776,3931992
2016-01-12,15.176947593688965,15.434669788410002,14.365601865398375,15.12922207049411,5829624
2016-01-13,15.110132217407227,15.176948682920163,14.56605320324515,15.167404123779793,10581496
2016-01-14,15.033768653869629,15.100585112144472,14.546960688508989,14.82377290032673,749717
2016-01-15,15.043314933776855,15.386944532712127,14.575597880010537,14.919226568639788,1514586
2016-01-18,14.680594444274902,14.909680223227294,14.317874839113966,14.804682802117274,1178635
2016-01-19,14.823774337768555,15.005134613966497,14.604234004830694,14.747412403676599,5688014
2016-01-20,15.06240463256836,15.243764897004883,14.35605633287222,14.365601801591193,867835
2016-01-21,15.482396125793457,15.950113196024983,15.17694839181467,15.453761538615511,3572576
2016-01-22,15.358308792114258,16.22692647544499,15.272401388654108,15.654211059248038,1507491
2016-01-25,15.138765335083008,15.453759405144647,14.995586957123477,15.119675309497836,684973
2016-01-26,14.919225692749023,15.234218866409451,14.833318298058732,14.919225692749023,627914
2016-01-27,15.24376392364502,15.84511475995239,14.747410505623975,14.93831531628363,6480852
2016-01-28,15.081496238708496,15.701938078361787,14.919226904515023,15.491941398457245,1051589
2016-01-29,15.386944770812988,15.616030566777411,15.08149613255439,15.196039030536602,2284394
2016-02-02,15.453760147094727,15.606484000332228,15.071949603695002,15.367852752072139,1063821
2016-02-03,15.491942405700684,15.616031692005325,15.281947532754934,15.606486222242491,714075
2016-02-04,15.787843704223633,15.997838539896017,15.329670339992806,15.616028920213557,1624944
2016-02-05,16.370101928710938,16.637369560340705,15.444213416548191,15.806932083191926,1429388
2016-02-08,16.46555519104004,16.6755500221142,15.921476267329654,16.37010233305657,882845
2016-02-09,16.675552368164062,16.704188775771453,15.97874950189307,16.465557507546148,669521
2016-02-10,16.599191665649414,16.799642892536347,16.379651319554576,16.799642892536347,892703
2016-02-11,16.370101928710938,16.599187689845685,16.131470699952434,16.599187689845685,647158
2016-02-12,16.265108108520508,16.608735896587948,16.141018829558636,16.360559159276296,375995
2016-02-15,16.150564193725586,16.503739269306333,16.09329319952214,16.293742589540237,417837
2016-02-16,16.312833786010742,16.427375776230594,16.093293454245934,16.2269263830398,420693
2016-02-17,16.981000900268555,17.09554288259009,16.188743389586666,16.513282040517662,855971
2016-02-18,16.847370147705078,17.18145434633972,16.713737196496186,17.1719088754516,349535
2016-02-19,17.29599380493164,17.649167035467816,16.790094899398365,16.961909690734647,1247605
2016-02-22,17.085996627807617,17.658711974899717,16.99054376652362,17.639621038520538,290811
2016-02-23,16.656461715698242,17.60144123232962,16.312832138518857,17.60144123232962,1216646
2016-02-24,16.4751033782959,16.895094930380267,16.246017573689553,16.895094930380267,1985538
2016-02-25,16.68509864807129,16.80918793312054,16.40828731019836,16.417832779864625,1757048
2016-02-26,16.732824325561523,17.08599756488659,16.513282186384,16.885548183747282,527334
2016-02-29,16.66600799560547,16.828277341500684,16.27465283561328,16.70418987492774,2024221
2016-03-01,16.551464080810547,17.085997585092848,16.465556682902964,16.465556682902964,590793
2016-03-02,16.54191780090332,16.704187120036725,16.47510134372108,16.69464165178042,556152
2016-03-03,16.85691261291504,16.981001891722435,16.465557479344795,16.465557479344795,1508611
2016-03-04,16.799640655517578,16.990544566461697,16.704187789739528,16.981000918434678,1259246
2016-03-07,16.494192123413086,16.885547215141276,16.236469944778843,16.599188632010378,487722
2016-03-08,16.456010818481445,16.732823942996816,16.41783076511392,16.51328180883871,806262
2016-03-09,16.532371520996094,16.70418629995062,16.351011274253892,16.51328058542074,3001346
2016-03-10,16.54191780090332,16.75191264070635,16.436919470695848,16.73282352480565,481016
2016-03-11,16.570554733276367,16.7041876518957,16.465556399725763,16.694642183335468,1050796
2016-03-14,16.436922073364258,16.580102299268518,16.246018139845578,16.484649422203077,557521
2016-03-15,16.331926345825195,16.580103110087073,16.24601893432638,16.41783375732401,498273
2016-03-16,16.46555519104004,16.599188099849794,16.341467750089816,16.513280709725855,959408
2016-03-17,16.72327995300293,16.895094759876788,16.389195808594,16.561010615467858,141966
2016-03-18,16.87600326538086,17.27690386134532,16.704188464165796,16.895094203429657,1180804
2016-03-22,17.028728485107422,17.267359767891314,16.76146079296907,16.952366547441066,234741
2016-03-23,16.99054527282715,17.276903882066385,16.360558881357715,17.276903882066385,1118354
2016-03-28,17.1623592376709,17.286448508476134,16.713733138526674,16.713733138526674,298598
2016-03-29,17.505990982055664,17.754167733651578,16.84736813438236,17.162361353597905,450435
2016-03-30,17.563257217407227,18.737322368790927,17.467804366428748,17.935523154162127,907706
2016-03-31,17.80189323425293,18.0214335762672,17.27690514324277,17.58235289223866,731589
2016-04-01,17.706438064575195,17.992796657634877,17.391444886637917,17.773256344050825,279011
2016-04-04,17.095544815063477,17.658714783538827,16.713735129812104,17.429628972388002,963415
2016-04-05,17.210086822509766,17.601441936345367,16.704187904828913,16.751913427740767,450887
2016-04-06,17.448719024658203,17.983252556832834,17.22917687376518,17.477353611713568,252694
2016-04-07,17.467809677124023,17.639624496999385,16.89509603835583,17.267360267677606,749745
2016-04-08,17.315082550048828,17.658712125354235,17.105087709924362,17.649166657083317,400733
2016-04-11,17.019182205200195,17.544170274090153,16.952365740499157,17.51553568671092,284728
2016-04-12,17.33417510986328,17.467808036946472,16.952365446331243,17.02872737903765,136710
2016-04-13,17.076452255249023,17.400990912069997,17.03827220065292,17.3341744510678,586191
2016-04-14,17.544170379638672,17.60144319596594,17.057364185141815,17.42008291882052,393254
2016-04-15,17.572805404663086,17.658712801780165,17.16235935635082,17.16235935635082,2560474
2016-04-18,17.27690315246582,18.01188785167924,17.181450286750366,17.238721277934847,823794
2016-04-19,17.18145179748535,17.515535946558884,17.14326991959711,17.467808599198584,1055288
2016-04-20,17.18145179748535,17.486899538142705,16.78055118271954,16.78055118271954,1538403
2016-04-21,17.105087280273438,17.33417305118549,16.85691057329908,16.85691057329908,1073993
2016-04-22,17.114633560180664,17.505988664963496,17.000089758985027,17.1050880916967,250547
2016-04-25,17.1623592376709,17.391445021528288,16.981000796666283,17.181450174812007,1930702
2016-04-26,17.133726119995117,17.36281192347264,17.03827324672645,17.18145164632339,643344
2016-04-27,17.39144515991211,17.467807088472185,17.181450311524898,17.181450311524898,1246886
2016-04-28,17.65871238708496,17.94506915700913,17.18144989013672,17.439172075435636,1084938
2016-04-29,17.143268585205078,17.830527768801613,17.066906655984575,17.658712972902478,762304
2016-05-02,17.582351684570312,17.735075548578205,17.19099655547358,17.19099655547358,455720
2016-05-03,17.715986251831055,17.811439130832827,17.563262373673115,17.563262373673115,961918
2016-05-04,17.85916519165039,17.94507260324801,17.467810014644478,17.687352189067443,2060867
2016-05-05,17.820980072021484,17.887796524159263,17.66825623267463,17.849616474628437,991590
2016-05-06,17.668256759643555,17.80188966790481,17.19099429229698,17.525078383561947,1045229
2016-05-09,17.84961700439453,18.126428288696886,17.410534587781786,17.658711289239108,851489
2016-05-10,17.696895599365234,17.93552686588993,17.658713722827486,17.735075655290903,314467
2016-05-11,17.715986251831055,17.897346539873197,17.658715252674888,17.67780619259769,275424
2016-05-12,18.050071716308594,18.221886546747363,17.677807464099505,17.820985882594357,919568
2016-05-13,18.107337951660156,18.326880077530173,17.868706710133,18.040521495330456,576341
