Price,Close,High,Low,Open,Volume
Ticker,GENTERA.MX,GENTERA.MX,GENTERA.MX,GENTERA.MX,GENTERA.MX
Date,,,,,
2015-01-02,21.30451011657715,22.22171480579198,21.252311683869078,22.139689306808133,2465065
2015-01-05,20.752696990966797,21.304511258501837,20.297822471899785,21.304511258501837,2525588
2015-01-06,21.33433723449707,21.476018279230573,20.402218360879413,20.91674695505998,2230830
2015-01-07,20.93912124633789,21.62516089008788,20.789981636796306,21.229941920413186,2279624
2015-01-08,21.080801010131836,21.237396299852186,20.909291476923677,21.050972523156222,1683185
2015-01-09,20.946577072143555,21.222483483721874,20.663212116019146,21.06588818346942,1334140
2015-01-12,20.685583114624023,21.08825917490806,20.573729127534218,20.946576699367313,1271827
2015-01-13,20.461877822875977,21.073347693274247,20.13377151840588,20.76015563498479,4341544
2015-01-14,20.946577072143555,21.25231197270366,20.238166104133175,20.387305704440827,3561503
2015-01-15,20.96149253845215,21.103173602472115,20.66321332045055,21.021148097592324,3280881
2015-01-16,20.79743766784668,21.103172571288262,20.655756610749805,21.02860419273229,3641112
2015-01-19,20.842182159423828,20.968950404880637,20.50661873842028,20.797439421756174,240950
2015-01-20,20.86454963684082,20.968947923410056,20.76760989463432,20.804894082644374,3043550
2015-01-21,21.073347091674805,21.215029581744556,20.469334361610137,20.87200904088633,6306677
2015-01-22,21.050973892211914,21.47601990315361,20.775067481246545,21.021146825597032,3450284
2015-01-23,21.140459060668945,21.22248456494654,20.767611463204943,21.058432134090637,1632731
2015-01-26,21.886154174804688,21.96817967877949,20.81980982242592,21.013690743067578,3291953
2015-01-27,21.625160217285156,21.990550684763203,21.35670949738264,21.6326173397603,2157008
2015-01-28,21.565505981445312,21.759386910779217,21.461109104996584,21.55059173558099,824708
2015-01-29,21.11063003540039,21.543133180610585,20.730325324944772,21.543133180610585,3297765
2015-01-30,21.118087768554688,21.319425813259723,20.73032592444885,20.879465532889775,3071064
2015-02-03,21.729555130004883,21.8786947214724,20.707953622044215,20.707953622044215,3150920
2015-02-04,21.520763397216797,21.71464431511883,21.297053989344903,21.71464431511883,1278180
2015-02-05,21.79667091369629,21.9905518413451,21.341797797194037,21.52076447910815,2451538
2015-02-06,21.35671043395996,21.990551649137004,21.252313559331064,21.684816725751737,2398748
2015-02-09,21.177745819091797,21.423825206360753,21.073348934280993,21.356712516896412,1497099
2015-02-10,21.140459060668945,21.356709927601695,21.065889256716,21.16282900624433,2551938
2015-02-11,21.25231170654297,21.431278371290414,21.06588791964347,21.06588791964347,5584514
2015-02-12,21.759387969970703,21.811586410735956,21.244857841011672,21.364168969132486,2136495
2015-02-13,21.79667091369629,21.90106921153842,21.55804867114414,21.811585159430987,1255931
2015-02-16,21.692270278930664,21.819038501105428,21.625157607055762,21.79666713638029,422261
2015-02-17,21.998008728027344,22.27391658195391,21.625161122467556,21.625161122467556,1194522
2015-02-18,21.580419540405273,22.251544937629475,21.326883057984908,22.162060887592578,3078200
2015-02-19,21.833953857421875,21.923436476283523,21.416363561732243,21.580417400146235,854839
2015-02-20,21.64007568359375,22.16951860850453,21.550591631142236,21.819042366196015,1424737
2015-02-23,21.79667091369629,22.13969145409057,21.669902669552865,21.953267649309108,1393134
2015-02-24,22.244089126586914,22.370857375272156,21.67736056907059,21.79667169462131,2243175
2015-02-25,21.766841888427734,22.221714964052342,21.453649867648174,22.221714964052342,6530629
2015-02-26,21.341794967651367,21.81903938948154,21.05097290358561,21.796668023845537,5737003
2015-02-27,21.37162208557129,21.84886650857842,20.76015231301826,21.319423654592455,6883309
2015-03-02,21.16282844543457,21.35670936165414,20.842180714845213,21.259769614694694,3746966
2015-03-03,21.20757293701172,21.36416825406617,20.81235394940162,21.177744444829464,5159198
2015-03-04,20.57373046875,21.297054293231966,20.54390197835452,21.297054293231966,6956033
2015-03-05,20.2307071685791,20.87200540120058,19.99208496731544,20.87200540120058,6031081
2015-03-06,20.417133331298828,20.730325362697307,19.99954443020108,20.133769789700526,5365211
2015-03-09,20.819808959960938,20.968948561138138,20.282908955864183,20.305278900430313,3337054
2015-03-10,20.327648162841797,20.84963386832122,20.275449734523903,20.730322768651607,5025031
2015-03-11,20.49915885925293,20.73032395025133,20.148682661784353,20.32764932148962,2591821
2015-03-12,20.760150909423828,20.827263579659288,20.39476049497548,20.39476049497548,1961030
2015-03-13,20.320194244384766,20.879465645606366,20.24562443976174,20.842181454445214,4072719
2015-03-17,20.327648162841797,20.64084015504965,20.208337063172184,20.290362555257232,3474514
2015-03-18,20.819808959960938,20.879464515971687,20.282908955864183,20.282908955864183,3747263
