Price,Close,High,Low,Open,Volume
Ticker,PE&OLES.MX,PE&OLES.MX,PE&OLES.MX,PE&OLES.MX,PE&OLES.MX
Date,,,,,
2015-01-02,241.19912719726562,253.58582026971646,238.53913607555532,249.25002175309078,155017
2015-01-05,241.59812927246094,251.81248512508924,235.67519532523184,251.81248512508924,253900
2015-01-06,255.5542449951172,256.68029829525744,241.50949345910098,241.5981652520737,208842
2015-01-07,250.1278839111328,257.28326785824794,248.7624139706429,253.94052774037226,114489
2015-01-08,258.3650207519531,259.74821434589063,250.16337923435015,253.56816554702985,142616
2015-01-09,259.9432373046875,261.47714835603585,249.68453067800272,249.68453067800272,129465
2015-01-12,253.5946807861328,258.6397991509872,248.62048360783933,258.6397991509872,110836
2015-01-13,251.78591918945312,259.0122237138521,250.4381999609428,256.2015146339581,110068
2015-01-14,247.3348846435547,255.3591814309598,246.9358750990358,248.62053095365408,125404
2015-01-15,248.92198181152344,252.69917818639877,248.27473456750502,250.03918683706826,244289
2015-01-16,262.1510314941406,263.1618141907859,249.63134253109368,249.7820602294022,257008
2015-01-19,260.0318908691406,263.24163665311505,258.01917372251927,261.56582903141987,72083
2015-01-20,265.4670715332031,268.1536611093112,258.1166228482692,260.5815735872898,189915
2015-01-21,267.00994873046875,268.8098751554434,262.45248382712344,262.45248382712344,160942
2015-01-22,276.53271484375,277.0913173763953,268.27787689402646,268.6502605432351,202703
2015-01-23,271.487548828125,276.53266722953015,268.6590895816842,276.53266722953015,83733
2015-01-26,271.9841003417969,274.3337538245892,266.0877919238222,271.14175897115916,80301
2015-01-27,270.84027099609375,273.5268607736728,268.8098307196227,268.8098307196227,329954
2015-01-28,267.8966064453125,272.4629194829536,267.33800393665166,270.8403096188596,119900
2015-01-29,261.938232421875,270.47678210992615,260.21810248044034,270.47678210992615,113727
2015-01-30,262.3460998535156,267.77247819480505,257.24778280179333,262.1066833003904,240824
2015-02-03,257.9482116699219,270.4324244741902,256.68913732878053,256.68913732878053,215506
2015-02-04,263.9509582519531,266.8858133704901,258.0191750525336,260.1737616696772,152490
2015-02-05,266.0788879394531,269.27975774393394,263.33910054448387,263.33910054448387,156940
2015-02-06,269.1468200683594,270.4324935662247,263.33918225956967,269.27984130242737,106423
2015-02-09,267.3114013671875,268.53497463234277,263.5253297764728,263.5253297764728,207866
2015-02-10,265.66217041015625,269.0403569036095,263.70265123215773,269.0403569036095,147332
2015-02-11,268.7300109863281,269.5368781664477,262.68298537139844,262.68298537139844,147620
