Fecha,Bimbo_Close,Bimbo_High,Bimbo_Low,Bimbo_Volume,Cemex_Close,Cemex_High,Cemex_Low,Cemex_Volume,Alfa SA A_Close,Alfa SA A_High,Alfa SA A_Low,Alfa SA A_Volume,Alsea SA_Close,Alsea SA_High,Alsea SA_Low,Alsea SA_Volume,America Movil SAB de CV B_Close,America Movil SAB de CV B_High,America Movil SAB de CV B_Low,America Movil SAB de CV B_Volume,Arca Continental SAB de CV_Close,Arca Continental SAB de CV_High,Arca Continental SAB de CV_Low,Arca Continental SAB de CV_Volume,Banco del Bajio SA_Close,Banco del Bajio SA_High,Banco del Bajio SA_Low,Banco del Bajio SA_Volume,Becle SA De CV_Close,Becle SA De CV_High,Becle SA De CV_Low,Becle SA De CV_Volume,Bolsa Mexicana de Valores SA de CV_Close,Bolsa Mexicana de Valores SA de CV_High,Bolsa Mexicana de Valores SA de CV_Low,Bolsa Mexicana de Valores SA de CV_Volume,Coca Cola Femsa SAB de CV UBL_Close,Coca Cola Femsa SAB de CV UBL_High,Coca Cola Femsa SAB de CV UBL_Low,Coca Cola Femsa SAB de CV UBL_Volume,Corporacion Inmobiliaria Vesta SAB de CV_Close,Corporacion Inmobiliaria Vesta SAB de CV_High,Corporacion Inmobiliaria Vesta SAB de CV_Low,Corporacion Inmobiliaria Vesta SAB de CV_Volume,El Puerto de Liverpool SAB de CV_Close,El Puerto de Liverpool SAB de CV_High,El Puerto de Liverpool SAB de CV_Low,El Puerto de Liverpool SAB de CV_Volume,Fomento Economico Mexicano SAB de CV_Close,Fomento Economico Mexicano SAB de CV_High,Fomento Economico Mexicano SAB de CV_Low,Fomento Economico Mexicano SAB de CV_Volume,Genomma Lab Internacional SA de CV_Close,Genomma Lab Internacional SA de CV_High,Genomma Lab Internacional SA de CV_Low,Genomma Lab Internacional SA de CV_Volume,Gentera SAB de CV_Close,Gentera SAB de CV_High,Gentera SAB de CV_Low,Gentera SAB de CV_Volume,Gruma SAB B_Close,Gruma SAB B_High,Gruma SAB B_Low,Gruma SAB B_Volume,Grupo Aeroportuario del Centro Norte SAB de CV_Close,Grupo Aeroportuario del Centro Norte SAB de CV_High,Grupo Aeroportuario del Centro Norte SAB de CV_Low,Grupo Aeroportuario del Centro Norte SAB de CV_Volume,Grupo Aeroportuario del Sureste SAB de CV B_Close,Grupo Aeroportuario del Sureste SAB de CV B_High,Grupo Aeroportuario del Sureste SAB de CV B_Low,Grupo Aeroportuario del Sureste SAB de CV B_Volume,Grupo Carso SAB de CV_Close,Grupo Carso SAB de CV_High,Grupo Carso SAB de CV_Low,Grupo Carso SAB de CV_Volume,Grupo Cementos de Chihuahua SAB de CV_Close,Grupo Cementos de Chihuahua SAB de CV_High,Grupo Cementos de Chihuahua SAB de CV_Low,Grupo Cementos de Chihuahua SAB de CV_Volume,Grupo Comercial Chedraui SA de CV_Close,Grupo Comercial Chedraui SA de CV_High,Grupo Comercial Chedraui SA de CV_Low,Grupo Comercial Chedraui SA de CV_Volume,Grupo Financiero Banorte O_Close,Grupo Financiero Banorte O_High,Grupo Financiero Banorte O_Low,Grupo Financiero Banorte O_Volume,Grupo Financiero Inbursa O_Close,Grupo Financiero Inbursa O_High,Grupo Financiero Inbursa O_Low,Grupo Financiero Inbursa O_Volume,Grupo Mexico SAB de CV B_Close,Grupo Mexico SAB de CV B_High,Grupo Mexico SAB de CV B_Low,Grupo Mexico SAB de CV B_Volume,Grupo Televisa SAB CPO_Close,Grupo Televisa SAB CPO_High,Grupo Televisa SAB CPO_Low,Grupo Televisa SAB CPO_Volume,Industrias Peñoles_Close,Industrias Peñoles_High,Industrias Peñoles_Low,Industrias Peñoles_Volume,Kimberly Clark de Mexico SAB de CV A_Close,Kimberly Clark de Mexico SAB de CV A_High,Kimberly Clark de Mexico SAB de CV A_Low,Kimberly Clark de Mexico SAB de CV A_Volume,La Comer SAB de CV UBC_Close,La Comer SAB de CV UBC_High,La Comer SAB de CV UBC_Low,La Comer SAB de CV UBC_Volume,Megacable Holdings SAB de CV_Close,Megacable Holdings SAB de CV_High,Megacable Holdings SAB de CV_Low,Megacable Holdings SAB de CV_Volume,Orbia Advance Corporation SAB de CV_Close,Orbia Advance Corporation SAB de CV_High,Orbia Advance Corporation SAB de CV_Low,Orbia Advance Corporation SAB de CV_Volume,Qualitas Controladora SAB de CV_Close,Qualitas Controladora SAB de CV_High,Qualitas Controladora SAB de CV_Low,Qualitas Controladora SAB de CV_Volume,Regional SA de CV_Close,Regional SA de CV_High,Regional SA de CV_Low,Regional SA de CV_Volume,Walmart de Mexico SAB de CV_Close,Walmart de Mexico SAB de CV_High,Walmart de Mexico SAB de CV_Low,Walmart de Mexico SAB de CV_Volume
2015-01-02,35.66183090209961,36.7647737027032,35.21348000328616,1678919,12.720958709716797,13.180230850251066,12.642969381579372,33377087,29.0360164642334,30.377676136151265,28.736863615941285,5285410,37.588077545166016,38.81275098533106,37.13588700099629,1768517,11.817290306091309,11.817290306091309,11.817290306091309,104,66.66854095458984,67.96378127285212,66.58849751455047,492376,,,,,,,,,15.772220611572266,16.643270020144158,15.392691457533616,1448240,,,,,22.712188720703125,23.86690799617067,21.980324740707665,460325,123.60292053222656,128.59819815344915,123.07936064165024,198269,100.99200439453124,105.20465064112965,99.97268849282162,971564,21.006776809692383,22.618980907994843,20.58166776401414,4128190,21.30451011657715,22.22171480579198,21.25231168386908,2465065,128.4189453125,133.3972695066201,128.242343652375,420132,36.59477996826172,37.74376879146866,36.4776504115124,186829,148.68341064453125,153.75551648142286,147.8290046679553,324351,62.19194793701172,66.10674993768009,60.59043586780327,403983,35.14089584350586,35.14089584350586,35.14089584350586,15000,36.72088623046875,38.165466027223744,35.90050527071197,158849,49.13789749145508,50.92688039889654,48.58935520147399,2167761,33.9363899230957,35.16960856997633,33.15991595474958,2221821,27.240264892578125,27.950654878346175,26.99485641272917,5411046,90.89520263671876,92.55048817822954,89.63100138496188,1697696,241.1991271972656,253.5858202697165,238.5391360755553,155017,19.07950782775879,19.9794839084834,18.905718779860027,1977017,,,,,38.47447204589844,40.93028998827924,38.43888103247094,259709,33.74671173095703,35.25199492863337,33.27384838323882,2015623,,,,,50.41828155517578,52.10310407228496,49.91283426445271,137520,24.03981208801269,24.93075392493328,23.930398596642664,8595016
2015-01-05,35.6080322265625,35.94877991207092,34.07467277274414,3630436,12.417665481567385,12.781616899263147,12.287683894784909,51738922,27.322681427001957,29.026948412387128,26.960070222042383,15422120,36.74022674560547,37.58807956950757,36.44818775211416,2773143,11.605745315551758,11.839173395255528,11.605745315551758,1614,65.62800598144531,67.95652813661746,64.76208420266188,1268791,,,,,,,,,15.927764892578123,16.014869475788945,15.398913094417557,1201249,,,,,21.19154167175293,22.93175378197136,20.345832432610248,5766602,120.35856628417967,121.87775036063212,118.9595559427209,468693,98.80207061767578,101.39814510844612,96.6599104513884,3710789,19.587072372436523,20.878440037305463,19.36248622597776,4926394,20.7526969909668,21.30451125850184,20.297822471899785,2525588,124.27320861816406,128.1499143450039,123.936840196494,801315,36.48879623413086,37.37006138968807,36.39955650928518,455258,146.69496154785156,148.21737555079062,145.0249770569397,359054,59.65623092651367,62.16526217707558,59.16687809172523,565003,35.14089584350586,35.14089584350586,35.14089584350586,0,35.83809280395508,36.7208938301135,35.24064425014535,271763,47.747859954833984,49.119211293809286,47.0933555765192,7362168,33.75368881225586,34.34745931344376,33.02289247287209,4355250,26.174684524536133,27.38880829324553,25.96156845663508,12175199,89.3399658203125,90.62235402213096,89.02163606100908,3469768,241.5981292724609,251.81248512508924,235.67519532523184,253900,18.837446212768555,19.209850653345672,18.545728828793287,3300751,,,,,39.2503662109375,39.94796035937973,36.65218433899757,444648,31.886796951293945,33.59698837132439,31.22478796577534,6402788,,,,,49.07744216918945,50.90266414128924,48.7755781439493,617088,23.312992095947266,23.992922459352908,23.156685819798557,19050026
2015-01-06,35.347984313964844,35.73356637252333,34.97137118922177,1088539,12.590977668762209,12.694963134313069,12.279019412918924,33392274,27.866596221923828,28.102292557812834,27.204832195200574,18415710,37.35256576538086,37.76706959913476,36.75906878118338,9218609,11.379613876342772,11.605746903508138,11.379613876342772,3552,65.71531677246094,66.21012838433153,65.41697749781056,1048144,,,,,,,,,16.139305114746094,16.36951041663027,15.933986327279522,855068,,,,,21.83395195007324,22.175488685810414,21.20780100938465,5185944,120.78771209716795,121.24260687375492,119.73201413419515,287619,100.6177215576172,101.326464825172,98.44371322137437,2421949,20.180620193481445,20.292912503773525,19.41863272541035,2911193,21.33433723449707,21.476018279230573,20.402218360879413,2230830,127.51919555664062,128.41900084398753,123.61726340197944,382979,37.96129989624024,38.03938627599891,36.25454865953125,702058,146.01922607421875,148.7611148700814,145.11820563677517,299719,59.78079605102539,61.3912007387988,59.22026335208096,329571,35.14089584350586,35.14089584350586,35.14089584350586,0,36.32853317260742,36.85464606490172,35.659745770621214,196816,47.28657913208008,47.90368448337295,47.1182746462773,6474240,33.85417556762695,34.237842357229496,33.15991639875761,2317095,26.27800750732422,26.497583001640685,25.83239950278621,13932472,88.77608489990234,89.6764858204552,87.56645110487689,4861545,255.5542449951172,256.68029829525744,241.50949345910095,208842,19.15398979187012,19.240883726645176,18.55814245441536,2925890,,,,,38.55989456176758,39.03682287483228,38.2324528634966,71434,32.26508712768555,33.25810058526684,31.138094123148612,5160490,,,,,50.69907760620117,51.20452481124114,48.361386960842445,593369,23.547447204589844,23.703753462053232,23.25046710418574,15378022
2015-01-07,36.2177848815918,36.49576366892819,35.12380759923438,1581065,12.876938819885254,12.963593839031825,12.60830900420717,52822595,28.50116729736328,29.05414800993828,28.084165324428582,10462724,38.90695571899414,39.55697738799458,37.37140171050486,6830352,11.379613876342772,11.379613876342772,11.379613876342772,1070,65.91905212402344,66.63944318644867,65.56977665584769,1140671,,,,,,,,,16.400619506835938,16.54372022351358,16.220187239686055,259053,,,,,22.224275588989254,22.321858162332763,21.57373027010717,3378946,123.91193389892578,125.74010480126051,120.8049129745899,570654,100.18770599365234,101.33443951268416,99.11264635736129,1962346,20.10843276977539,20.53354179670315,19.89186770719702,3013709,20.93912124633789,21.62516089008788,20.789981636796306,2279624,125.12248229980467,128.94873206119024,124.87861724537566,757212,37.93340301513672,38.02822155434983,37.35332989904144,184236,148.00767517089844,148.45041040636937,144.65993070265807,501475,61.133182525634766,61.39120434396922,60.25235410310189,358905,35.14089584350586,35.14089584350586,35.14089584350586,0,36.38204574584961,36.73873383616989,36.11453137892427,579985,48.30886459350586,48.62053468765751,47.62319133751387,9690245,35.08738708496094,35.407109344513614,33.835898331511686,2590791,26.859235763549805,27.124017742974157,26.290922321040423,6962552,88.70332336425781,89.50368590562199,88.63965879291456,4609148,250.1278839111328,257.28326785824794,248.7624139706429,114489,19.085716247558597,19.445706945687352,18.936754701833703,1937783,,,,,40.524539947509766,40.93028340929001,38.68089750793538,155832,33.87282180786133,34.28263995027569,32.312372153023816,4294741,,,,,52.15223693847656,52.475160359519165,50.7692786780773,302243,23.922582626342773,24.12578017074891,23.5474478955523,14605496
2015-01-08,36.78270721435547,37.204158143136254,35.67976444178153,1626697,13.041583061218262,13.128238079639738,12.94626235503557,65767467,29.307971954345703,29.90627950297101,28.66433942406933,10545076,39.33087921142578,39.6605977194459,38.85043172921615,869041,11.379613876342772,11.379613876342772,11.379613876342772,0,66.15919494628906,66.58124130553611,65.83174843921073,1367197,,,,,,,,,16.500165939331055,16.736593130176743,16.25129489983277,420378,,,,,22.28120422363281,22.44384137348601,21.96406348754418,361399,125.7143096923828,126.1692044156833,123.17375396344606,623332,101.77242279052734,102.5767231466407,100.41863890563177,1501658,20.140514373779297,20.51749675913138,19.97207439403111,3084049,21.08080101013184,21.237396299852183,20.90929147692368,1683185,129.4617156982422,131.09312881615003,125.18977178245468,559393,37.52623748779297,38.20670800465021,37.4202613155451,225748,150.28347778320312,151.08351810821517,146.57844080888069,277762,61.82716751098633,63.12616896064159,61.1509794389462,382858,35.14089584350586,35.14089584350586,35.14089584350586,0,37.10432434082031,38.201135234469845,36.20368876528769,384695,49.03816986083984,49.24387325758959,48.42106442629869,5583479,35.936946868896484,36.25666920036316,35.2609580305943,1935479,27.22735595703125,27.524428036209976,26.704248846118094,7826027,89.430908203125,90.82243853806068,88.6942103666346,2547408,258.3650207519531,259.74821434589063,250.16337923435012,142616,19.4146728515625,19.73742226070509,18.99261456594402,2789970,,,,,40.659793853759766,40.951644511805625,40.45336488740072,421162,34.014678955078125,34.47965981894416,33.96738952729608,3910386,,,,,51.97673416137695,52.98762858551532,51.66784856380082,605385,23.774089813232425,24.172669406125145,23.70375215033095,18709574
2015-01-09,36.06534576416016,36.92617862999711,35.760467029928854,1101398,12.998254776000977,13.09357454689766,12.790282930124592,33422834,28.98162269592285,29.453015357768457,28.51023003407725,8591990,38.68086624145508,39.31204278037871,38.19099611287452,1367447,11.39420223236084,11.39420223236084,11.39420223236084,158,66.75587463378906,66.94506877391203,65.85357308738085,761742,,,,,,,,,16.220186233520508,16.574827634031696,15.877988682394822,610156,,,,,22.126697540283203,22.354389223963278,21.955929940790178,515862,125.23367309570312,127.19916047414932,124.01489726112769,158076,101.26276397705078,101.8122353499818,99.61433163145162,1347028,19.90791130065918,20.252810899367915,19.498844441483804,2773256,20.946577072143555,21.222483483721877,20.663212116019142,1334140,129.831787109375,131.01750701355357,126.40077518354124,368545,37.67125701904297,37.87205173825726,37.30313194868758,211343,147.518310546875,151.32433981824823,147.07557535664762,248021,62.796966552734375,63.12616137273898,61.40898708162746,259153,35.14089584350586,35.14089584350586,35.14089584350586,0,36.765472412109375,37.28266963634823,35.66866147980093,222139,48.62053298950195,49.23763842277045,48.43976377052269,4376357,35.96434783935547,36.25666637238508,35.62635518892344,2659341,27.33713722229004,27.414633728918,26.891526766147805,5053000,89.29449462890625,89.612817472361,88.39409374630067,2563079,259.9432373046875,261.47714835603585,249.68453067800272,129465,19.16019630432129,19.638114120288584,18.9926141328808,2589565,,,,,40.289642333984375,41.19366822774283,40.189986406635,1734334,34.73186492919922,34.99194145860678,33.518181648910414,3011600,,,,,52.48920440673828,52.83319263257563,51.9065410756789,441882,23.37550926208496,23.914764158674437,23.320802524436875,17303401
2015-01-12,35.62596130371094,36.522663083579765,35.43765475089348,942564,12.798949241638184,13.0589142940623,12.78161786630511,54142614,28.32892799377441,29.280779190054474,28.28360111545191,5643310,38.24751281738281,38.55839335278651,38.14388956591051,982110,11.39420223236084,11.39420223236084,11.39420223236084,0,66.73404693603516,66.94507010582572,66.59578903646755,1139042,,,,,,,,,15.710000991821287,16.325957323946803,15.622896415574504,569281,,,,,22.19988250732422,22.28120107074388,21.955928368087832,445954,124.8474349975586,126.59834877062691,123.9977193317388,273031,100.43457794189452,102.12282386999252,99.91695482508878,1453468,19.46676254272461,20.05228901478804,19.3705108823116,2709007,20.685583114624023,21.08825917490806,20.573729127534214,1271827,127.59488677978516,131.0174936363695,127.3257946259025,339159,37.58759689331055,37.79397045339221,36.4720724168677,278845,147.518310546875,148.97858406628433,146.83477624381536,591440,61.435691833496094,62.81476550334463,61.3912027394663,263755,35.14089584350586,35.14089584350586,35.14089584350586,0,36.3017807006836,37.17566252994167,35.67757842217675,211202,47.10581970214844,48.62053660983708,46.90635102423385,6652268,35.754241943359375,36.183586287272114,35.434519656218974,7215806,26.626745223999023,27.2273487034822,26.53633222081998,6149278,86.5932846069336,89.76742998242989,86.24767794133662,2529439,253.5946807861328,258.6397991509872,248.62048360783933,110836,19.62570571899414,19.675359574735,19.110546521742283,2724082,,,,,40.367942810058594,40.88046209360191,40.09032910327939,45381,34.40871810913086,34.71608080529876,34.085596383976444,1594509,,,,,52.64364242553711,52.79106364206724,52.23648136098355,242063,22.78155517578125,23.44585469013109,22.742479347556618,18887646
2015-01-13,35.751495361328125,36.486790472217976,35.46455109467089,1278144,12.599642753601074,12.91160006491864,12.530318183623043,49958868,27.322681427001957,28.990689184532773,27.213898065514083,8256465,38.13447189331055,38.63376101833876,37.83301390155811,1470622,11.817290306091309,11.817290306091309,11.306666533796529,23909,67.19974517822266,67.66544952699581,65.89722641937362,1068872,,,,,,,,,15.927764892578123,16.045979103157766,15.554457671128844,791374,,,,,22.012849807739254,22.3543865163808,21.95592728146942,467486,122.9763412475586,127.02748924973146,121.87772617203964,199367,101.0557098388672,101.32646295829204,99.42320778152887,2121788,18.83310890197754,19.795619357322398,18.73685877436397,3110500,20.461877822875977,21.073347693274247,20.13377151840588,4341544,126.3839340209961,129.3356198447304,125.4925462540629,415611,37.07445907592773,37.98361005164484,36.90712869138151,355817,151.48745727539062,152.15545351459932,147.5416204033325,330818,61.382301330566406,63.17065559381496,61.15986944467269,488022,34.11711502075195,34.11711502075195,32.281669952490056,17400,36.47120666503906,37.4431777982138,36.27502794407379,223644,46.86270904541016,47.99718784050283,46.700639287337616,8478246,35.79078674316406,36.43936830575393,35.56241265903704,4932929,26.090721130371094,26.788194546259103,25.780730208232782,8995788,87.25720977783203,89.1034889609291,86.857028577545,4551802,251.78591918945312,259.0122237138521,250.4381999609428,110068,19.52639389038086,20.04155419408571,19.240884558721,2494047,,,,,40.40353012084961,40.69538074936125,40.09744526058425,218588,33.07683563232422,35.062862419450745,32.91921445874275,2838982,,,,,51.92057418823242,52.826166252410616,51.66785057237327,425755,22.42205238342285,23.04727456767399,22.28137701930453,19426812
2015-01-14,34.827903747558594,36.10121886999537,34.52302494884682,1992074,12.123040199279783,12.495656394041488,11.975725371516187,67914903,27.54931259155273,27.73061629275848,26.307372585821675,12945468,37.31488037109375,38.35114168989533,37.230095092743625,1742292,11.817290306091309,11.817290306091309,11.817290306091309,311,67.0396728515625,67.31618868554946,66.22469283973132,1489356,,,,,,,,,15.610450744628906,16.070862458770936,15.554454613084944,667707,,,,,22.19175338745117,22.199883848363942,21.996588203045512,1086057,123.34544372558594,124.46980683598436,120.16974526239524,426526,99.66212463378906,102.13078168952651,99.07283371546266,2879809,17.998931884765625,18.929357809142097,17.790387932078765,7369968,20.946577072143555,21.25231197270366,20.23816610413317,3561503,128.8899383544922,131.01750002742617,124.87868018596468,1235795,37.44257354736328,37.87205280824519,37.07445272199507,175447,147.13771057128906,151.4719170124529,146.4386499864983,496331,61.3734016418457,62.04069722014836,61.15986216937007,450752,34.11711502075195,33.09332435359676,33.09332435359676,32,36.31961441040039,37.13107632896137,35.998595910463536,257398,46.13963317871094,46.74427385063586,45.53499726249368,12334653,35.0325813293457,36.530718172177615,34.81334417117348,8256371,24.863689422607425,25.348047008762112,24.547241382348854,54261720,85.37455749511719,87.12079153441586,85.14718305440901,4191433,247.3348846435547,255.3591814309598,246.9358750990358,125404,19.56363296508789,19.9546580122079,19.253296152255302,5564201,,,,,40.01202774047852,40.2825243340826,39.51374539923531,3065627,33.108360290527344,33.494530629967485,32.12322640226844,3809923,,,,,51.134315490722656,51.86440524359037,50.930737663583294,562885,22.82843971252441,22.89877737503269,22.187586779135117,40867160
2015-01-15,33.904300689697266,35.043112533975304,33.72495962229233,1910129,12.06238079071045,12.313680138751533,12.001721910675068,36430945,27.65809631347656,27.96631679450356,27.467726843874598,11167448,37.14530563354492,37.5127072671555,36.69311873112713,1727240,11.598453521728516,11.598453521728516,11.525507048324616,749,64.78390502929688,67.11243244133072,64.47100938383996,1567892,,,,,,,,,15.305584907531738,15.604230177261428,15.249588771118573,1176073,,,,,22.476364135742188,22.606473213582635,21.95592782438039,1159452,121.13961791992188,122.63305423515484,120.24699789819717,894819,98.49149322509766,100.93626079784788,98.08535745681348,2636436,16.892045974731445,18.01497372974227,16.595272986768823,13998227,20.96149253845215,21.103173602472115,20.66321332045055,3280881,130.025146484375,130.34470535200415,128.24237139471376,705157,37.47046661376953,37.66568254231746,37.31987268471487,748492,144.96282958984375,147.58043670075932,143.89092578324033,269189,59.20246887207031,62.09408325720521,58.7220152058165,770091,34.11711502075195,34.11711502075195,34.11711502075195,0,35.77566909790039,36.37312098972196,35.17822060770771,516886,46.60714721679688,46.73181811705714,44.911665774634486,10798242,34.082542419433594,35.27922013899241,33.379149969721695,3269733,25.17367172241211,25.37387369512556,24.967012734126374,15242793,85.47460174560547,86.42047330099042,85.09260741636932,4087088,248.92198181152344,252.6991781863988,248.27473456750505,244289,19.66914939880371,19.991898815115103,19.30915870904627,7787760,,,,,40.04762268066406,40.38930405104141,39.78424589327624,41888,33.67578125,33.99890297265858,33.092583164781566,5350473,,,,,50.77629852294922,51.14836233537985,50.34105113253672,683829,23.008197784423828,23.086350926870672,22.59398717290861,18288704
