Fecha,IPC
01/03/2022,56536.68
01/04/2022,51417.97
01/05/2022,51752.53
01/06/2022,47524.45
01/07/2022,48144.33
01/08/2022,44919.22
01/09/2022,44626.8
01/10/2022,49922.3
01/11/2022,51684.86
01/12/2022,48463.86
01/01/2023,54564.27
01/02/2023,52758.06
01/03/2023,53904
01/04/2023,55121.22
01/05/2023,52736.26
01/06/2023,53526.1
01/07/2023,54819.05
01/08/2023,53020.98
01/09/2023,50874.98
01/10/2023,49061.88
01/11/2023,54060.01
01/12/2023,57386.25
01/01/2024,57372.76
01/02/2024,55414
01/03/2024,57369.01
01/04/2024,56727.98
01/05/2024,55179.24
01/06/2024,52440.02
01/07/2024,53093.97
01/08/2024,51985.87
01/09/2024,52477.3
01/10/2024,50661.05
01/11/2024,49812.64
01/12/2024,49513.27
